model,slug,label_fr,label_en,section,order,external_model,is_controled,reference_table,vocab,translation,multiple,constraint,datatype,is_indexed,is_facet,view_scope,mandatory,editable,commentable
Dataset,pricing_comments,Commentaires sur les tarifications,Tarification Comment,LEGAL,24,Comment,False,,,False,True,None,dict,False,False,PAGE_DETAIL,False,True,
Dataset,compliance_comments,Commentaires sur la compliance,Compliance Comment,LEGAL,26,Comment,False,,,False,True,None,dict,False,False,PAGE_DETAIL,False,True,
Dataset,data_format,Format des données (DCAT AP),Data Format (DCAT AP),TECH,26,Reference,True,data_format,DCAT,False,True,oneOf,str,False,True,PAGE_ITEM,False,True,
Dataset,other_access_points,Autres points d’accès,Other Access point,TECH,27,,False,,,False,True,None,str,False,False,PAGE_DETAIL,False,True,
Dataset,data_domain,Domaine  de référence des données,Data domain,TECH,28,Reference,True,data_domain,,True,False,oneOf,str,False,True,PAGE_ITEM,True,True,
Dataset,related_referential,Référentiels associés,Related references,TECH,29,,False,,,False,True,None,str,False,False,PAGE_DETAIL,False,True,
Dataset,related_datasets,jeux de données associés,Related Datasets,TECH,30,Dataset,False,,,False,True,oneOf,dict,False,False,PAGE_DETAIL,False,True,
Dataset,automatic_update,Mise à jour automatique,Automatic Update,TECH,31,,False,,,False,False,Bool,bool,False,False,PAGE_DETAIL,False,True,
Dataset,broadcast_mode,Mode de diffusion,Broadcast Mode,TECH,32,Reference,True,broadcast_mode,,True,True,oneOf,str,False,True,PAGE_ITEM,False,True,
Dataset,documentation_comments,Commentaires sur la documentation,Documentation comments,TECH,33,Comment,False,,,False,True,None,dict,False,False,PAGE_DETAIL,False,True,
Dataset,last_updated,Dernière Mise à Jour,Last Update,ADMIN,34,,False,,,False,False,Date,date,False,True,"PAGE_LIST, FILTER",False,True,
Dataset,downloadable,Téléchargeable,Downloadable,TECH,34,,False,,,False,False,Bool,bool,False,True,FILTER,False,True,
Dataset,has_documentation,Documentation,Documentation,TECH,36,,False,,,False,False,Bool,bool,False,False,PAGE_DETAIL,False,True,Field
Dataset,has_filter,Filtrage des données,Data Filter,TECH,37,,False,,,False,False,Bool,bool,False,False,PAGE_DETAIL,False,True,
Dataset,has_missing_data,Données manquantes,Missing Data,TECH,38,,False,,,False,False,Bool,bool,False,False,PAGE_DETAIL,False,True,Field
Dataset,has_search_engine,Moteur de Recherche,Search Engine,TECH,39,,False,,,False,False,Bool,bool,False,False,PAGE_DETAIL,False,True,
Dataset,missing_data_comments,Commentaires sur les données manquantes,Missing Data Comments,TECH,40,Comment,False,,,False,True,None,dict,False,False,PAGE_DETAIL,False,True,Field
Dataset,technical_comments,Commentaires sur l’accès techniques,Technical Comments,TECH,41,Comment,False,,,False,True,None,dict,False,False,PAGE_DETAIL,False,True,Section
Dataset,temporal_scale,Echelle temporelle,Temporal Scale,TECH,42,,False,,,True,False,Range,str,True,True,FILTER,False,True,Field
Dataset,update_frequency,Fréquence de mise à jour,Update Frequency,TECH,43,,False,,,True,False,oneOf,str,False,True,FILTER,False,True,Field
Dataset,volume,Volume,Volume,TECH,44,,False,,,False,False,None,str,False,False,PAGE_DETAIL,False,True,
Dataset,year,Année  ,Year,TECH,45,,False,,,False,False,None,str,False,True,FILTER,False,True,
Dataset,year_end,Année de Fin,Ending Year,TECH,46,,False,,,False,False,Range,int,False,True,FILTER,False,True,
Dataset,year_start,Année de Début,Starting Year,TECH,47,,False,,,False,False,Range,int,False,True,FILTER,False,True,
Dataset,is_geospatial_data,Données géospatiales / géolocalisée,Geospatial Geolocalized data,GEO,48,,False,,,False,False,Bool,bool,False,True,FILTER,False,True,Field
Dataset,administrative_territory_coverage,Couverture administrative  territoriale,Administrative Territory Coverage,GEO,49,Reference,True,administrative_territory_coverage,DCAT,True,True,oneOf,str,False,True,FILTER,False,True,
Dataset,geographical_information_level,Niveau d’information géographique,Geographical information level,GEO,50,Reference,True,geographical_geospatial_information_level,DCAT,True,True,oneOf,str,False,True,PAGE_ITEM,False,True,
Dataset,projection_system,Système de Projection,Projection System,GEO,51,Reference,True,projection_system,DCAT,False,True,oneOf,str,False,False,PAGE_DETAIL,False,True,
Dataset,related_geographical_information,Référentiels géographiques associés,Related Geographical References,GEO,52,,False,,,False,True,None,str,False,False,PAGE_DETAIL,False,True,
Dataset,geographical_geospatial_coverage,Couverture géographique/géospatial,Spatial /Geographical Coverage,GEO,53,Reference,True,geographical_geospatial_coverage,DCAT,True,True,oneOf,str,False,True,"PAGE_ITEM, FILTER",False,True,
Dataset,geospatial_comments,Commentaires géographiques,Geospatial Geolocalized comments,GEO,54,Comment,False,,,False,True,None,dict,False,False,PAGE_DETAIL,False,True,Section
Dataset,comments,Commentaires généraux,Comments,COMMON,56,Comment,False,,,False,True,None,dict,False,False,PAGE_DETAIL,False,True,General
Dataset,qualification_comments,Commentaires sur le qualification,Subject comments,DATA,17,Comment,False,,,False,True,None,dict,False,False,PAGE_DETAIL,False,True,Section
Dataset,context_comments,Contexte de production,Production context,COMMON,10,Comment,False,,,True,True,None,dict,False,False,PAGE_DETAIL,False,True,Section
Organization,_id,id,id,ADMIN,-1,,False,,,False,False,unique,id,False,False,ADMIN,False,False,
Organization,organization_type,Type d’organisation,Organization_type,PRODUCER,7,Reference,True,organization_type,,True,False,oneOf,dict,False,True,"PAGE_LIST, PAGE_ITEM, FILTER",True,True,
Organization,acronym,Sigle,Acronym,COMMON,2,,False,,,False,False,if_exists,str,False,True,"PAGE_LIST, PAGE_ITEM, FILTER",False,True,
Organization,agent_type,Type d’agent (DCAT-AP),Agent_type (DCAT-AP),PRODUCER,6,Reference,True,agent_type,DCAT,True,False,oneOf,dict,False,True,"PAGE_ITEM, FILTER",True,True,
Organization,image_url,Url du logo,Logo Url,COMMON,3,,False,,,False,False,if_exists,url,False,False,"PAGE_LIST, PAGE_ITEM",False,True,
Organization,name,Nom,Name,COMMON,1,,False,,,False,False,unique,str,True,True,"PAGE_LIST, PAGE_ITEM, FILTER",True,True,
Organization,url,Url,Url,COMMON,5,,False,,,False,False,unique,url,False,False,"PAGE_LIST, PAGE_ITEM",True,True,
Organization,logs,Logs,Logs,ADMIN,-1,Log,False,,,False,True,None,dict,False,False,ADMIN,False,False,
Organization,description,A propos,About,COMMON,4,,False,,,True,False,None,str,False,False,PAGE_ITEM,False,True,
Organization,members,Membres,Members,PRODUCER,-1,User,False,,,False,True,oneOf,dict,False,False,PAGE_ITEM,False,True,
Log,id,ID,ID,ADMIN,-1,,False,,,False,False,unique,id,False,False,ADMIN,True,False,
Log,action,Action,Action,ADMIN,-1,Reference,True,action,,False,False,oneOf,str,False,True,ADMIN,True,False,
Log,perimeter,Périmêtre,Perimeter,ADMIN,-1,Reference,True,perimeter,,False,False,oneOf,str,False,True,ADMIN,True,False,
Log,user,Utilisateurs,User,ADMIN,-1,User,False,,,False,False,oneOf,id,False,True,ADMIN,True,False,
Log,date,Date,Date ,ADMIN,-1,,False,,,False,False,None,Date,False,True,ADMIN,True,False,
User,id,id,id,ADMIN,-1,,False,,,False,False,unique,id,False,False,ADMIN,False,False,
User,name,Nom,Name,ADMIN,1,,False,,,False,False,None,str,False,False,ADMIN,True,False,
User,email,Email,Email,ADMIN,2,,False,,,False,False,None,str,False,False,ADMIN,True,False,
User,organization,Organisme,Organization,ADMIN,3,Organization,False,,,False,True,oneOf,dict,False,False,ADMIN,False,True,
User,rôle,Role,Role,ADMIN,4,Role,False,,,True,True,oneOf,dict,False,False,ADMIN,True,True,
References,id,id,id,ADMIN,-1,,False,,,False,False,unique,id,False,False,ADMIN,False,False,
References,name,Nom de la référence,Reference Name,ADMIN,1,,False,,,False,False,None,str,False,False,ADMIN,True,True,
References,uri,URI,URI,ADMIN,4,,False,,,False,False,None,url,False,False,ADMIN,True,True,
References,table_name,Nom de la table,Table Name,ADMIN,5,,False,,,False,False,None,str,False,False,ADMIN,True,True,
References,label_en,Nom du champ en Anglais,Fieldname  EN,ADMIN,2,,False,,,False,False,None,str,False,False,ADMIN,True,True,
References,label_fr,Nom du champ en Français,Fieldname  FR,ADMIN,3,,False,,,False,False,None,str,False,False,ADMIN,True,True,
Comment,id,id,id,ADMIN,-1,,False,,,False,False,unique,id,False,False,ADMIN,False,False,
Comment,text,Commentaire ,Comment ,ADMIN,2,,False,,,False,False,None,str,False,False,ADMIN,True,False,
Comment,scope,Section /champ,Scope,ADMIN,3,Reference,True,commentables_fields,,False,False,None,str,False,False,ADMIN,True,True,
Comment,user,Utilisateur,User ,ADMIN,1,User,False,,,False,False,None,dict,False,False,ADMIN,True,False,
Comment,date,Date,Date ,ADMIN,4,,False,,,False,False,None,Date,False,False,ADMIN,True,False,
Role,id,id,id,ADMIN,-1,,False,,,False,False,unique,id,False,False,ADMIN,False,False,
Role,type,Role,Role,ADMIN,1,,False,,,True,False,unique,str,False,False,ADMIN,True,True,
Role,action,Actions ,Actions,ADMIN,2,Reference,True,action,,False,True,oneOf,str,False,False,ADMIN,True,True,
Role,perimeter,Périmêtre,Perimeter,ADMIN,3,Reference,True,perimeter,,False,False,oneOf,str,False,False,ADMIN,True,True,
